"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
122899,"H",5,100,3,13,1000000,999480,73,6,1,1,0,1,2,2,2,0,130,1,1200,3,2,0,0,2,140,2,1,1,6,0,0,1,1,0,1,1,1,1,0,33000,2,2,5,4,42500,2,0,0,1,1,42500,1,2,2,2,1,1,2,3,1,6,0,0,3,11,0,1,1,1,0,0,1,397,3,0,1,8,1,9,9,0
122985,"H",5,200,3,13,1000000,999480,95,4,1,2,1,1,4,2,2,0,200,2,2,3,3,0,0,0,0,0,0,1,7,2,650,1,1,0,1,1,3,1,0,0,2,200,8,7,12640,2,867,82,1,3,12640,0,2,2,2,1,1,1,1,3,4,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,2,14,13,0
123069,"H",5,2100,3,13,1000000,999480,83,4,1,1,0,1,3,1,2,0,110,2,2,3,3,0,0,0,0,0,0,1,5,2,440,1,1,0,1,2,3,1,0,0,1,1,7,8,25000,2,550,22,1,3,29800,1,1,4,1,1,1,2,2,0,3,0,1,1,0,4,1,1,1,0,0,1,0,0,1,0,0,1,15,15,0
123257,"H",5,1104,3,13,1000000,999480,272,2,1,0,0,1,2,7,0,0,100,1,2,3,3,0,0,0,0,0,0,1,4,2,690,1,1,0,1,1,3,1,0,0,1,2,1,7,18700,4,790,51,1,3,18700,0,4,4,4,1,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,13,13,0
123345,"H",5,4000,3,13,1000000,999480,36,5,1,1,0,1,4,2,2,0,160,2,2,3,3,720,0,1,2100,1,1,1,8,0,0,1,1,0,1,1,1,1,0,338000,2,480,12,2,138520,2,0,0,1,1,138520,0,2,2,2,1,1,1,1,3,5,0,0,3,20,0,1,0,1,0,0,1,2300,3,0,1,37,1,3,3,0
123392,"H",5,2300,3,13,1000000,999480,77,2,1,2,1,1,3,1,2,0,540,2,2,3,3,0,0,0,0,0,0,1,6,2,550,1,1,0,1,1,3,1,0,0,2,180,6,1,109500,4,1105,12,1,1,109500,0,4,4,4,1,1,1,3,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,2,1,1,0
123539,"H",5,2400,3,13,1000000,999480,27,2,1,1,0,1,3,3,2,70,150,2,2,3,3,480,0,0,0,0,3,1,6,0,0,1,1,0,1,1,2,1,0,176000,1,470,12,4,235400,4,0,0,1,1,235400,0,4,4,4,1,1,1,1,0,2,0,0,0,2,0,1,0,0,2,2,1,366,0,0,1,18,0,9,9,0
123543,"H",5,2300,3,13,1000000,999480,230,5,1,1,0,1,3,2,2,0,290,2,2,3,3,490,0,1,510,1,1,1,7,0,0,1,1,0,1,1,1,1,0,95000,4,1100,2,1,60700,2,0,0,1,1,60700,0,2,2,2,1,1,1,6,2,5,0,0,2,18,0,1,0,1,0,0,2,892,3,0,1,23,3,1,1,0
123616,"H",5,3500,3,13,1000000,999480,68,2,1,1,0,1,3,2,2,0,140,2,2,3,3,670,0,1,1700,1,1,1,5,0,0,1,1,0,1,1,1,1,0,190000,2,290,9,0,0,0,0,0,1,7,104600,0,4,4,4,1,1,1,2,0,0,0,1,0,21,4,1,0,0,0,0,1,1864,3,0,1,36,0,0,0,0
123785,"H",5,3900,3,13,1000000,999480,163,4,1,2,1,1,4,1,2,0,160,2,2,3,3,1200,0,2,460,2,1,1,8,0,0,1,1,0,1,1,1,1,0,70000,2,2,7,2,60000,2,0,0,1,1,60000,0,2,2,2,1,1,1,5,2,4,0,0,2,15,0,1,0,1,0,0,2,745,3,0,0,8,1,3,3,0
123904,"H",5,1104,3,13,1000000,999480,137,1,1,0,0,1,2,9,0,0,120,2,2,2,2,0,0,0,0,0,0,1,4,2,870,1,1,0,1,1,3,1,0,0,1,20,5,0,0,0,992,85,1,6,14000,0,4,4,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
124053,"H",5,4000,3,13,1000000,999480,50,1,1,0,0,1,1,7,0,0,90,1,2,3,3,0,0,0,0,0,0,1,3,2,500,1,1,0,1,1,3,1,0,0,1,20,7,0,0,0,592,101,1,6,5100,0,4,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
124374,"H",5,2700,3,13,1000000,999480,150,2,1,1,0,1,2,2,2,0,150,2,2,3,3,530,0,1,770,1,1,1,5,0,0,1,1,0,1,1,1,1,0,60000,2,360,6,1,58300,4,0,0,1,1,58300,0,4,4,4,1,1,1,3,0,2,0,0,0,20,0,1,0,0,0,0,2,950,3,0,1,5,2,2,4,0
124535,"H",5,1000,3,13,1000000,999480,76,2,1,2,1,1,4,1,2,0,150,2,2,3,3,980,0,1,820,1,1,1,8,0,0,1,1,0,1,1,1,1,0,130000,2,2,7,3,51000,4,0,0,1,1,51000,0,4,4,4,1,1,1,5,0,2,0,0,0,23,0,1,0,0,1,0,1,970,3,0,0,21,1,3,7,0
124543,"H",5,1104,3,13,1000000,999480,176,4,1,0,0,1,2,5,0,0,200,2,2,3,3,0,0,0,0,0,0,1,4,2,530,1,1,0,1,1,3,1,0,0,1,1,3,1,23600,3,730,37,2,1,23600,0,3,3,3,1,1,1,3,2,4,0,0,2,0,0,1,0,1,0,0,2,0,0,1,0,0,2,2,1,0
124580,"H",5,1202,3,13,1000000,999480,78,1,1,0,0,1,1,9,0,0,60,2,2,3,3,0,0,0,0,0,0,1,4,2,800,1,1,0,1,1,3,1,0,0,1,20,8,0,0,0,862,28,1,4,37000,0,4,4,4,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
124590,"H",5,1102,3,13,1000000,999480,166,2,1,2,1,1,7,2,2,0,430,2,2,230,3,5400,0,2,6400,1,1,1,17,0,0,1,1,0,1,1,1,1,0,1300000,2,590,12,1,194800,4,0,0,1,1,194800,0,4,4,4,1,1,1,2,0,2,0,0,0,47,0,1,0,0,0,0,2,7559,3,0,1,42,2,4,1,11276
124592,"H",5,3700,3,13,1000000,999480,92,2,1,1,0,1,4,2,2,0,100,2,2,3,3,600,0,2,1200,1,1,1,7,0,0,1,1,0,1,1,1,1,0,215000,2,2,7,1,134000,4,0,0,3,1,134000,0,4,4,4,1,1,1,3,0,2,0,0,0,12,0,1,0,0,0,0,1,1350,3,0,1,30,2,1,1,0
124613,"H",5,2600,3,13,1000000,999480,37,2,1,2,1,1,3,1,2,0,170,2,2,3,3,770,80,1,600,1,1,1,8,0,0,1,1,0,1,1,1,1,0,70000,2,360,7,1,59600,4,0,0,1,1,59600,0,4,4,4,1,1,1,5,0,2,0,0,0,16,0,1,0,0,1,0,1,807,3,0,0,6,2,2,1,0
